"","X","participant_id","option_chosen","problem_number","running_number","trial_number","cond","a.b.f","b.b.f","a.se.f","b.se.f","a_be","pa_be","a_se","pa_se","b_be","pb_be","b_se","pb_se","de_gap_rule"
"116",116,1,1,92,56,36,"exp",1,1,0,0,5,0.793,3,0.013,5,0.637,6,0.089,0.4
"117",117,1,1,95,57,10,"exp",1,1,0,0,5,0.604,3,0.043,5,0.514,5,0.071,0.4
"118",118,1,1,96,58,48,"exp",1,0,0,0,8,0.703,6,0.066,8,0.597,6,0.158,0.4
"119",119,1,0,99,59,50,"exp",1,1,0,0,6,0.596,6,0.137,6,0.736,3,0.075,0.4
"120",120,1,0,100,60,16,"exp",0,0.5,0,0,5,0.761,5,0.276,5,0.716,3,0.056,0.4
"121",121,2,0,2,1,27,"desc",NA,NA,NA,NA,2,0.88,6,0.114,2,0.733,3,0.178,0.133333333333333
"122",122,2,1,3,2,33,"desc",NA,NA,NA,NA,8,0.68,4,0.251,8,0.614,10,0.051,0.133333333333333
"123",123,2,0,5,3,31,"desc",NA,NA,NA,NA,8,0.905,10,0.074,8,0.709,4,0.205,0.133333333333333
"124",124,2,0,8,4,56,"desc",NA,NA,NA,NA,5,0.545,9,0.067,5,0.694,6,0.026,0.133333333333333
"125",125,2,1,10,5,13,"desc",NA,NA,NA,NA,8,0.921,4,0.226,8,0.73,4,0.089,0.133333333333333
"126",126,2,0,11,6,22,"desc",NA,NA,NA,NA,3,0.644,8,0.02,3,0.914,4,0.14,0.133333333333333
"127",127,2,0,12,7,45,"desc",NA,NA,NA,NA,2,0.688,6,0.122,2,0.706,6,0.024,0.133333333333333
"128",128,2,0,13,8,48,"desc",NA,NA,NA,NA,10,0.635,4,0.157,10,0.611,6,0.092,0.133333333333333
"129",129,2,1,14,9,43,"desc",NA,NA,NA,NA,2,0.511,4,0.049,2,0.778,10,0.054,0.133333333333333
"130",130,2,0,15,10,46,"desc",NA,NA,NA,NA,2,0.675,4,0.105,2,0.775,6,0.176,0.133333333333333
"131",131,2,1,16,11,29,"desc",NA,NA,NA,NA,8,0.836,6,0.014,8,0.703,6,0.185,0.133333333333333
"132",132,2,0,17,12,35,"desc",NA,NA,NA,NA,3,0.922,9,0.062,3,0.563,6,0.056,0.133333333333333
"133",133,2,1,18,13,39,"desc",NA,NA,NA,NA,7,0.584,9,0.015,7,0.658,10,0.027,0.133333333333333
"134",134,2,0,19,14,26,"desc",NA,NA,NA,NA,6,0.804,4,0.064,6,0.889,4,0.163,0.133333333333333
"135",135,2,1,22,15,7,"desc",NA,NA,NA,NA,10,0.642,4,0.213,10,0.902,10,0.042,0.133333333333333
"136",136,2,1,23,16,36,"desc",NA,NA,NA,NA,7,0.828,4,0.033,7,0.81,3,0.104,0.133333333333333
"137",137,2,0,26,17,6,"desc",NA,NA,NA,NA,8,0.645,3,0.215,8,0.8,4,0.188,0.133333333333333
"138",138,2,0,27,18,59,"desc",NA,NA,NA,NA,6,0.517,8,0.085,6,0.835,9,0.072,0.133333333333333
"139",139,2,1,28,19,32,"desc",NA,NA,NA,NA,8,0.9,6,0.012,8,0.786,4,0.181,0.133333333333333
"140",140,2,1,29,20,60,"desc",NA,NA,NA,NA,7,0.676,6,0.058,7,0.571,4,0.218,0.133333333333333
"141",141,2,0,31,21,12,"desc",NA,NA,NA,NA,6,0.769,6,0.091,6,0.681,6,0.219,0.133333333333333
"142",142,2,1,32,22,44,"desc",NA,NA,NA,NA,6,0.86,3,0.132,6,0.782,6,0.014,0.133333333333333
"143",143,2,1,34,23,18,"desc",NA,NA,NA,NA,7,0.596,6,0.145,7,0.944,8,0.135,0.133333333333333
"144",144,2,0,35,24,20,"desc",NA,NA,NA,NA,5,0.575,6,0.014,5,0.724,4,0.183,0.133333333333333
"145",145,2,1,36,25,5,"desc",NA,NA,NA,NA,7,0.791,6,0.019,7,0.631,9,0.019,0.133333333333333
"146",146,2,1,39,26,58,"desc",NA,NA,NA,NA,8,0.752,4,0.146,8,0.624,10,0.037,0.133333333333333
"147",147,2,0,42,27,1,"desc",NA,NA,NA,NA,10,0.561,3,0.199,10,0.824,6,0.151,0.133333333333333
"148",148,2,0,43,28,19,"desc",NA,NA,NA,NA,7,0.767,8,0.03,7,0.871,8,0.117,0.133333333333333
"149",149,2,1,44,29,47,"desc",NA,NA,NA,NA,2,0.766,6,0.083,2,0.635,4,0.136,0.133333333333333
"150",150,2,0,45,30,28,"desc",NA,NA,NA,NA,7,0.609,4,0.164,7,0.691,3,0.081,0.133333333333333
"151",151,2,0,48,31,23,"desc",NA,NA,NA,NA,7,0.754,10,0.088,7,0.833,6,0.235,0.133333333333333
"152",152,2,1,53,32,17,"desc",NA,NA,NA,NA,7,0.713,6,0.01,7,0.763,9,0.041,0.133333333333333
"153",153,2,1,54,33,49,"desc",NA,NA,NA,NA,8,0.659,4,0.227,8,0.594,6,0.134,0.133333333333333
"154",154,2,0,56,34,16,"desc",NA,NA,NA,NA,4,0.77,9,0.016,4,0.62,6,0.091,0.133333333333333
"155",155,2,1,57,35,37,"desc",NA,NA,NA,NA,5,0.645,4,0.137,5,0.677,8,0.017,0.133333333333333
"156",156,2,0,59,36,50,"desc",NA,NA,NA,NA,8,0.569,6,0.16,8,0.795,6,0.071,0.133333333333333
"157",157,2,0,60,37,53,"desc",NA,NA,NA,NA,8,0.566,8,0.06,8,0.766,6,0.192,0.133333333333333
"158",158,2,0,61,38,2,"desc",NA,NA,NA,NA,5,0.86,10,0.104,5,0.659,4,0.138,0.133333333333333
"159",159,2,1,65,39,30,"desc",NA,NA,NA,NA,8,0.571,4,0.261,8,0.514,6,0.014,0.133333333333333
"160",160,2,1,67,40,54,"desc",NA,NA,NA,NA,8,0.711,8,0.145,8,0.536,4,0.139,0.133333333333333
"161",161,2,0,68,41,57,"desc",NA,NA,NA,NA,7,0.845,4,0.162,7,0.869,6,0.068,0.133333333333333
"162",162,2,1,70,42,4,"desc",NA,NA,NA,NA,4,0.556,6,0.029,4,0.715,8,0.105,0.133333333333333
"163",163,2,0,71,43,21,"desc",NA,NA,NA,NA,8,0.606,8,0.036,8,0.577,4,0.105,0.133333333333333
"164",164,2,0,73,44,42,"desc",NA,NA,NA,NA,7,0.703,3,0.162,7,0.756,4,0.103,0.133333333333333
"165",165,2,0,74,45,15,"desc",NA,NA,NA,NA,2,0.693,8,0.031,2,0.708,3,0.18,0.133333333333333
"166",166,2,0,76,46,52,"desc",NA,NA,NA,NA,8,0.794,4,0.2,8,0.837,6,0.018,0.133333333333333
"167",167,2,1,77,47,41,"desc",NA,NA,NA,NA,8,0.741,6,0.02,8,0.571,4,0.198,0.133333333333333
"168",168,2,1,79,48,8,"desc",NA,NA,NA,NA,4,0.733,4,0.167,4,0.799,9,0.038,0.133333333333333
"169",169,2,1,80,49,3,"desc",NA,NA,NA,NA,3,0.812,6,0.037,3,0.817,3,0.199,0.133333333333333
"170",170,2,1,81,50,34,"desc",NA,NA,NA,NA,2,0.626,4,0.205,2,0.571,10,0.027,0.133333333333333
"171",171,2,0,83,51,9,"desc",NA,NA,NA,NA,5,0.742,9,0.052,5,0.688,4,0.112,0.133333333333333
"172",172,2,0,84,52,38,"desc",NA,NA,NA,NA,5,0.595,3,0.187,5,0.669,6,0.065,0.133333333333333
"173",173,2,0,85,53,11,"desc",NA,NA,NA,NA,10,0.668,4,0.153,10,0.846,6,0.082,0.133333333333333
"174",174,2,1,86,54,10,"desc",NA,NA,NA,NA,3,0.716,6,0.074,3,0.676,4,0.176,0.133333333333333
"175",175,2,0,90,55,25,"desc",NA,NA,NA,NA,7,0.832,4,0.118,7,0.903,4,0.193,0.133333333333333
"176",176,2,1,92,56,51,"desc",NA,NA,NA,NA,8,0.793,6,0.013,8,0.637,4,0.089,0.133333333333333
"177",177,2,0,95,57,24,"desc",NA,NA,NA,NA,5,0.604,9,0.043,5,0.514,8,0.071,0.133333333333333
"178",178,2,1,96,58,55,"desc",NA,NA,NA,NA,10,0.703,4,0.066,10,0.597,3,0.158,0.133333333333333
"179",179,2,1,99,59,40,"desc",NA,NA,NA,NA,7,0.596,4,0.137,7,0.736,9,0.075,0.133333333333333
"180",180,2,1,100,60,14,"desc",NA,NA,NA,NA,2,0.761,4,0.276,2,0.716,6,0.056,0.133333333333333
"181",181,2,0,2,1,7,"exp",0.733333333333333,0.666666666666667,0.2,0.4,2,0.88,6,0.114,2,0.733,3,0.178,0.133333333333333
"182",182,2,1,3,2,58,"exp",0.65,0.4,0.1,0,8,0.68,4,0.251,8,0.614,10,0.051,0.133333333333333
"183",183,2,0,5,3,48,"exp",0.96,0.72,0.12,0.24,8,0.905,10,0.074,8,0.709,4,0.205,0.133333333333333
"184",184,2,0,8,4,34,"exp",0.6,0.8,0.1,0,5,0.545,9,0.067,5,0.694,6,0.026,0.133333333333333
"185",185,2,0,10,5,16,"exp",0.85,0.9,0.25,0.1,8,0.921,4,0.226,8,0.73,4,0.089,0.133333333333333
"186",186,2,0,11,6,28,"exp",0.85,0.9,0,0.1,3,0.644,8,0.02,3,0.914,4,0.14,0.133333333333333
"187",187,2,0,12,7,12,"exp",0.7,0.8,0.1,0,2,0.688,6,0.122,2,0.706,6,0.024,0.133333333333333
"188",188,2,1,13,8,24,"exp",0.636363636363636,0.6,0.0909090909090909,0,10,0.635,4,0.157,10,0.611,6,0.092,0.133333333333333
"189",189,2,1,14,9,30,"exp",0.4,0.7,0.1,0.1,2,0.511,4,0.049,2,0.778,10,0.054,0.133333333333333
"190",190,2,1,15,10,36,"exp",0.65,0.85,0.15,0.2,2,0.675,4,0.105,2,0.775,6,0.176,0.133333333333333
"191",191,2,1,16,11,17,"exp",1,0.2,0,0.2,8,0.836,6,0.014,8,0.703,6,0.185,0.133333333333333
"192",192,2,0,17,12,3,"exp",0.9,0.6,0.1,0.1,3,0.922,9,0.062,3,0.563,6,0.056,0.133333333333333
"193",193,2,1,18,13,56,"exp",0.6,0.6,0,0.1,7,0.584,9,0.015,7,0.658,10,0.027,0.133333333333333
"194",194,2,0,19,14,19,"exp",0.6,0.9,0.1,0.35,6,0.804,4,0.064,6,0.889,4,0.163,0.133333333333333
"195",195,2,0,22,15,27,"exp",0.6,1,0.2,0,10,0.642,4,0.213,10,0.902,10,0.042,0.133333333333333
"196",196,2,1,23,16,44,"exp",0.933333333333333,0.8,0,0.133333333333333,7,0.828,4,0.033,7,0.81,3,0.104,0.133333333333333
"197",197,2,0,26,17,38,"exp",0.6,0.733333333333333,0.133333333333333,0.133333333333333,8,0.645,3,0.215,8,0.8,4,0.188,0.133333333333333
"198",198,2,0,27,18,41,"exp",0.4,0.933333333333333,0,0.0666666666666667,6,0.517,8,0.085,6,0.835,9,0.072,0.133333333333333
"199",199,2,1,28,19,32,"exp",0.92,0.88,0,0.12,8,0.9,6,0.012,8,0.786,4,0.181,0.133333333333333
"200",200,2,1,29,20,26,"exp",0.7,0.35,0.05,0.15,7,0.676,6,0.058,7,0.571,4,0.218,0.133333333333333
"201",201,2,1,31,21,29,"exp",0.8,0.4,0,0.4,6,0.769,6,0.091,6,0.681,6,0.219,0.133333333333333
"202",202,2,1,32,22,52,"exp",0.8,0.72,0.08,0.04,6,0.86,3,0.132,6,0.782,6,0.014,0.133333333333333
"203",203,2,1,34,23,33,"exp",0.533333333333333,0.8125,0.266666666666667,0.1875,7,0.596,6,0.145,7,0.944,8,0.135,0.133333333333333
"204",204,2,0,35,24,45,"exp",0.3,0.9,0,0.4,5,0.575,6,0.014,5,0.724,4,0.183,0.133333333333333
"205",205,2,1,36,25,14,"exp",0.733333333333333,0.666666666666667,0,0,7,0.791,6,0.019,7,0.631,9,0.019,0.133333333333333
"206",206,2,1,39,26,8,"exp",0.8,0.6,0.3,0,8,0.752,4,0.146,8,0.624,10,0.037,0.133333333333333
"207",207,2,0,42,27,22,"exp",0.5,0.9,0.1,0.1,10,0.561,3,0.199,10,0.824,6,0.151,0.133333333333333
"208",208,2,1,43,28,25,"exp",0.8,0.85,0.05,0.1,7,0.767,8,0.03,7,0.871,8,0.117,0.133333333333333
"209",209,2,1,44,29,10,"exp",0.8,0.6,0.0666666666666667,0.2,2,0.766,6,0.083,2,0.635,4,0.136,0.133333333333333
"210",210,2,0,45,30,50,"exp",0.6,0.8,0.333333333333333,0.266666666666667,7,0.609,4,0.164,7,0.691,3,0.081,0.133333333333333
"211",211,2,1,48,31,4,"exp",0.6,0.6,0,0.4,7,0.754,10,0.088,7,0.833,6,0.235,0.133333333333333
"212",212,2,0,53,32,54,"exp",0.6,0.933333333333333,0,0,7,0.713,6,0.01,7,0.763,9,0.041,0.133333333333333
"213",213,2,0,54,33,2,"exp",0.75,0.625,0.625,0.125,8,0.659,4,0.227,8,0.594,6,0.134,0.133333333333333
"214",214,2,1,56,34,57,"exp",0.75,0.6,0,0.15,4,0.77,9,0.016,4,0.62,6,0.091,0.133333333333333
"215",215,2,1,57,35,42,"exp",0.7,0.7,0.05,0,5,0.645,4,0.137,5,0.677,8,0.017,0.133333333333333
"216",216,2,0,59,36,5,"exp",0.7,0.8,0,0,8,0.569,6,0.16,8,0.795,6,0.071,0.133333333333333
"217",217,2,0,60,37,47,"exp",0.6,0.8,0.15,0.1,8,0.566,8,0.06,8,0.766,6,0.192,0.133333333333333
"218",218,2,1,61,38,23,"exp",1,0.6,0,0.1,5,0.86,10,0.104,5,0.659,4,0.138,0.133333333333333
"219",219,2,1,65,39,60,"exp",0.8,0.533333333333333,0.133333333333333,0,8,0.571,4,0.261,8,0.514,6,0.014,0.133333333333333
"220",220,2,0,67,40,37,"exp",0.733333333333333,0.666666666666667,0.2,0.2,8,0.711,8,0.145,8,0.536,4,0.139,0.133333333333333
"221",221,2,1,68,41,35,"exp",0.8,0.6,0.2,0.2,7,0.845,4,0.162,7,0.869,6,0.068,0.133333333333333
"222",222,2,0,70,42,55,"exp",0.6,0.8,0.05,0.05,4,0.556,6,0.029,4,0.715,8,0.105,0.133333333333333
"223",223,2,0,71,43,1,"exp",0.416666666666667,0.666666666666667,0,0,8,0.606,8,0.036,8,0.577,4,0.105,0.133333333333333
"224",224,2,1,73,44,13,"exp",0.8,0.75,0.25,0.1,7,0.703,3,0.162,7,0.756,4,0.103,0.133333333333333
"225",225,2,1,74,45,9,"exp",0.666666666666667,0.533333333333333,0,0.133333333333333,2,0.693,8,0.031,2,0.708,3,0.18,0.133333333333333
